Date,Open,High,Low,Close,Adj Close,Volume
2016-07-13,167.000000,167.190002,166.020004,166.779999,153.362503,1479800
2016-07-14,167.149994,168.000000,166.279999,166.940002,153.509644,2150100
2016-07-15,167.440002,167.440002,165.600006,166.410004,153.022278,1962300
2016-07-18,166.559998,167.860001,165.919998,167.509995,154.033783,1993800
2016-07-19,167.500000,168.559998,167.389999,168.119995,154.594711,1487800
2016-07-20,168.250000,168.259995,166.949997,168.039993,154.521118,1336900
2016-07-21,167.429993,167.750000,166.300003,167.050003,153.610733,1384600
2016-07-22,167.679993,167.699997,166.960007,167.470001,153.996994,1335100
2016-07-25,167.169998,168.199997,166.399994,167.970001,154.456757,1732200
2016-07-26,167.600006,168.820007,166.699997,167.570007,154.088959,1593900
2016-07-27,167.160004,167.500000,165.750000,166.149994,152.783157,1440000
2016-07-28,166.259995,166.860001,165.800003,166.350006,152.967072,1866500
2016-07-29,166.639999,167.679993,166.380005,167.220001,153.767090,1359700
2016-08-01,167.149994,168.000000,166.899994,167.559998,154.079773,986800
2016-08-02,167.070007,167.539993,164.589996,166.500000,153.105011,2107300
2016-08-03,165.919998,166.330002,165.100006,166.119995,152.755585,1837100
2016-08-04,166.039993,167.740005,165.889999,166.550003,153.151016,1638300
2016-08-05,166.860001,168.330002,166.080002,167.699997,154.208466,1526500
2016-08-08,167.250000,167.550003,166.470001,167.399994,153.932602,1294400
2016-08-09,167.740005,168.600006,166.880005,167.860001,154.355621,1286700
2016-08-10,167.440002,168.500000,167.050003,168.289993,155.166946,1104300
2016-08-11,169.110001,169.589996,167.330002,167.880005,154.788986,1497800
2016-08-12,167.160004,169.410004,167.160004,169.039993,155.858521,1399100
2016-08-15,169.039993,169.270004,168.589996,168.729996,155.572678,918600
2016-08-16,167.880005,168.800003,167.880005,168.410004,155.277664,1023000
2016-08-17,167.449997,168.360001,166.919998,167.960007,154.862747,1382500
2016-08-18,168.419998,168.710007,167.199997,167.750000,154.669098,1353400
2016-08-19,167.210007,168.330002,167.100006,168.020004,154.918030,1764800
2016-08-22,168.339996,168.690002,167.619995,167.940002,154.844284,955000
2016-08-23,168.089996,168.449997,167.309998,167.360001,154.309525,1003700
2016-08-24,167.139999,167.880005,166.759995,167.570007,154.503113,1363800
2016-08-25,167.199997,167.410004,164.639999,164.860001,152.004456,1817700
2016-08-26,165.389999,165.649994,163.470001,163.929993,151.146973,2009900
2016-08-29,164.470001,164.839996,163.399994,163.979996,151.193069,1819200
2016-08-30,164.070007,164.279999,161.740005,161.960007,149.330612,2010700
