Date,Open,High,Low,Close,Adj Close,Volume
2015-10-12,16972.000000,17099.000000,16943.000000,17040.000000,17040.000000,67274
2015-10-13,17051.000000,17076.000000,16920.000000,16973.000000,16973.000000,128107
2015-10-14,16951.000000,17017.000000,16793.000000,16822.000000,16822.000000,163381
2015-10-15,16826.000000,17072.000000,16825.000000,17069.000000,17069.000000,152438
2015-10-16,17062.000000,17126.000000,17012.000000,17115.000000,17115.000000,108094
2015-10-18,null,null,null,null,null,null
2015-10-19,17106.000000,17148.000000,17032.000000,17117.000000,17117.000000,109422
2015-10-20,17100.000000,17168.000000,17046.000000,17107.000000,17107.000000,101476
2015-10-21,17094.000000,17223.000000,17041.000000,17056.000000,17056.000000,145717
2015-10-22,17056.000000,17435.000000,17042.000000,17408.000000,17408.000000,177471
2015-10-23,17426.000000,17597.000000,17402.000000,17546.000000,17546.000000,160217
2015-10-25,null,null,null,null,null,null
2015-10-26,17546.000000,17579.000000,17485.000000,17531.000000,17531.000000,95416
2015-10-27,17541.000000,17555.000000,17459.000000,17513.000000,17513.000000,101071
2015-10-28,17513.000000,17708.000000,17471.000000,17702.000000,17702.000000,155703
2015-10-29,17678.000000,17707.000000,17603.000000,17684.000000,17684.000000,105568
2015-10-30,17690.000000,17769.000000,17562.000000,17594.000000,17594.000000,121465
2015-11-01,null,null,null,null,null,null
2015-11-02,17598.000000,17764.000000,17527.000000,17735.000000,17735.000000,102672
2015-11-03,17723.000000,17897.000000,17689.000000,17841.000000,17841.000000,104770
2015-11-04,17836.000000,17906.000000,17756.000000,17787.000000,17787.000000,137072
2015-11-05,17799.000000,17866.000000,17710.000000,17802.000000,17802.000000,126619
2015-11-06,17809.000000,17855.000000,17704.000000,17843.000000,17843.000000,173163
2015-11-08,null,null,null,null,null,null
2015-11-09,17826.000000,17871.000000,17610.000000,17675.000000,17675.000000,146385
2015-11-10,17678.000000,17724.000000,17608.000000,17716.000000,17716.000000,127743
2015-11-11,17709.000000,17799.000000,17643.000000,17655.000000,17655.000000,111144
2015-11-12,17651.000000,17715.000000,17391.000000,17398.000000,17398.000000,172359
2015-11-13,17405.000000,17445.000000,17153.000000,17206.000000,17206.000000,179695
2015-11-15,null,null,null,null,null,null
2015-11-16,17108.000000,17447.000000,17052.000000,17421.000000,17421.000000,171733
2015-11-17,17422.000000,17556.000000,17400.000000,17456.000000,17456.000000,161563
2015-11-18,17467.000000,17714.000000,17412.000000,17689.000000,17689.000000,153348
2015-11-19,17687.000000,17769.000000,17645.000000,17707.000000,17707.000000,119473
2015-11-20,17720.000000,17884.000000,17699.000000,17801.000000,17801.000000,103435
2015-11-22,null,null,null,null,null,null
2015-11-23,17801.000000,17842.000000,17716.000000,17762.000000,17762.000000,89886
2015-11-24,17755.000000,17830.000000,17623.000000,17765.000000,17765.000000,132919
2015-11-25,17764.000000,17833.000000,17743.000000,17802.000000,17802.000000,67392
2015-11-27,17811.000000,17875.000000,17722.000000,17801.000000,17801.000000,75998
2015-11-29,null,null,null,null,null,null
2015-11-30,17801.000000,17847.000000,17700.000000,17714.000000,17714.000000,104830
2015-12-01,17758.000000,17879.000000,17752.000000,17862.000000,17862.000000,124139
2015-12-02,17865.000000,17905.000000,17695.000000,17758.000000,17758.000000,132073
2015-12-03,17769.000000,17870.000000,17409.000000,17486.000000,17486.000000,244078
2015-12-04,17503.000000,17855.000000,17445.000000,17819.000000,17819.000000,198761
2015-12-06,null,null,null,null,null,null
2015-12-07,17849.000000,17869.000000,17626.000000,17756.000000,17756.000000,148528
